,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(3, 0)","(3, 1)","(3, 2)","(3, 3)"
0x18714,,-55.55673652236093,,,-35.47782067362,,,,,,,-55.20357299409794,,,-55.732976611872175,
0x16e7071,,,,,-60.79122337832739,,,,,,,-65.91009551162372,,,-65.23669437992004,
0x13dc9c4,,,,,-66.46773324507429,,,,,,,,,,,
0x14330c8,,,,,,,,,,,,-80.43994280100596,,,,
0x142feca,,,,-78.40358830079998,,,,,,,,,,,,
0x150d453,,,,,,,,,,,,,-99.99999999999997,,,
0x7db65,,,,,,,,,,,,,59.95856040766285,0.0,-6.616720196706398,0.0
0x4ff12a,0.0,,,,,,,,,,,,0.0,,0.0,
0x4fa3ab,0.0,,0.0,,,,,0.0,,,,,0.0,,,
0x682b11,0.0,,,,,,,,,,,,0.0,0.0,,
0x21ef783,,,,0.0,,,,,,,,,0.0,0.0,,
0x21f0044,,,,0.0,,,,,,,,,,0.0,,
0x21f032f,,,,20.0,,,,,,,,,,,,
0x946a61,,,,,,,,,,,,,52.86482086345258,0.0,0.0,0.0
0x9c3a64,,,0.0,,,,,0.0,,,,0.0,,0.0,,
0xb3f513,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0xb490d4,,,,,,,,0.0,,,,,,,,
0xb7c30e,,,,,,,,,,,,,20.0,,,
0x154cb,0.0,0.002675980907982948,48.3959909186928,0.12976998938836995,,,,,,,,,,,,
0x95ffb8,0.0,,0.24634368000000006,-0.11664000000000004,,,,,,,,-0.24261120000000003,,,,
0xa680ba,,,,,,,,,,,,-4.1184,0.0,,,
0xbea1ed,,,,,,,,,-23.6448,,,,-16.0,,,
0x150adc1,,,,,,,,,,,,,-67.232,,,
0x324591,,,,,-0.9563256078336005,,,,0.0,,,,54.118023905564286,,,
0x324e5b,,6.931007999783732,,,58.70120764606415,,,,,,,,,,,
0xc6af3e,23.6448,,,0.0,,,,,,,,0.0,,,,
0x27f509a,,,,0.0,,,,,,,,67.232,,,,0.0
0x1871b,,-65.5714478857419,,,-65.81861062231563,,,,,,,-63.88963409466702,,,,
0xac6ba6,,,,-19.355189215091098,,,,-14.59698628555715,,,,-19.394695890042176,,,,
0xacba24,,,,0.0,,,,,,,,,,,,
0xd6dbcc,,,,,,,,,0.0,,,,0.0,,,
0x1b1df4d,,,,,,,,,,,,,-99.99999999999997,,,
0x15567,0.0,0.0,0.0,62.244530778738756,,,,,,,,,,,,
0x3248ad,,0.0,,,-0.39657600000000004,,,,-0.20995200000000003,,,,,,-11.720954828369813,
0x10d4c2e,,-7.786380205522945,,,-11.702192807116802,,,,,,,,,,-3.4473600000000006,
0x110de62,,,,,,,,,,,,,,,-76.59839636642204,
0x1598df1,,,,-96.4815627911168,,,,,,,,,,,,
0x1fdca3,,,,0.03359232000000001,,,,61.91040471810688,,,,0.0,,,,0.0
0xfa688a,,64.36942872626322,,,,,,,,,,0.0,,0.0,0.0,
0xfa1c4c,,0.0,,0.0,,,,,,,,,,0.0,,
0xfa1c5f,,0.0,,0.0,,,,,,,,,,,,
0x10aa136,,-20.0,,,,,,,,,,,,,,
0xac6b9f,,,,71.36444797919732,,,,0.0,,,,0.0,,,,0.0
0xac6ba4,,,,0.0,,,,0.0,,,,0.0,,0.0,,
0x1af4ffe,,,,,0.0,,,,0.0,,,0.0,,0.0,,
0x1b2f054,,,,,,,,,,,,,0.0,3.6,,
0x1b1d957,,,,,,,,,,,,36.0,,,,
0x11f2db,,0.0,,,0.0,,,,,,,,,89.99062812075063,0.0,
0x11f3e0,99.99926924918134,0.0,,,0.0,,,,,,,,,,,
0xe01a2c,,,,,,,,,,,,,0.0,0.0,,0.0
0xf73d5e,,0.0,,0.0,,,,0.0,,,,,,,,
0x18a183b,,,,0.0,,,,-20.0,,,,,,,,0.0
0xe1e175,,-60.493878011515385,,,,,,,,,,-57.18078308908775,,,-65.55065665627986,
0x143ca87,,,,-73.82189953854349,,,,-72.56677211908128,,,,-61.690308127942664,,,,-69.32213902203995
0x1436133,,,,,,,,,,,,,-59.344298968248225,,-61.85569408369449,
0x140b995,,,,,,,,,,,,,-83.19055736341582,,,
0x140b8e2,,,,,,,,,,,,-98.84707849539316,,,,
0x13dfc0d,,,,,-13.397072711865576,,,,,,,-6.4694593718227615,,0.0,0.0,
0x13db074,,,,0.0,-1.6848,,,,,,,,,,,0.0
0x13dadf7,,,,,0.0,,,,0.0,,,,0.0,,,
0x13dae36,,,,0.0,0.0,,,,0.0,,,,,,,
0x13dc225,,,,0.0,0.0,,,,,,,,,,,
0x14e46ea,,,,,20.0,,,,,,,,,,,
0x1fdcaa,,,,-15.36350922984565,,,,-15.327952781402965,,,,-16.380357763210867,,,,
0x1ff78f,,,,-42.3181885444626,,,,,,,,,,,,
0x10a8723,,-79.80118299587868,,,,,,,,,,,,,,
0x1b30a48,,,,,,,,,,,,,-36.0,-20.0,,
0x32462d,,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,
0x34c227,0.0,0.0,,0.0,,,,,,,,,,,,
0x2365398,,,,0.0,,,,,,,,,,,0.0,
0x2261e95,,,,,,,,,,,,,-20.0,,,
0x9c3a68,,,0.0,,0.0,,,0.0,,,,0.0,,0.0,,
0x146d210,,,,,0.0,,,,,,,,0.0,0.0,,
0x14bed3e,,,,,,,,0.0,,,,,,0.0,,
0x14c063d,,,,,,,,,,,,,,0.0,,-20.0
0x1fdca8,,,,0.0,,,,0.0,,,,0.0,,0.0,,
0x1f7bd6,0.0,,,,,,,,,,,,0.0,0.0,,
0x1d647a6,,,,,,,,,,,,,0.0,0.0,,
0x21f01d6,,,,0.0,,,,,,,,,,0.0,,
0x290d5e7,,,,,,,,,,,,,,20.0,,
0xd549e9,,,,,,,,,,,,,41.80283213231348,1.1038436352000003,63.47645098235218,80.4456798960895
0x1af58ba,,,,,56.12928838022463,,,,,,,-0.6480000000000001,,,-1.1664,
0x1af595d,,,,,8.784,,,,,,,,,,0.0,
0x1b5c9d7,,,,,,,,,,,,,,,67.232,
0x16e3e28,,,-26.477553923407875,-24.364696402420854,,,,,,,,-25.023911778126532,,,,
0x16e87ea,,,,0.0,0.0,,,,0.0,,,,0.0,,,
0x143e4d9,,,,0.0,,,,,,,,,0.0,,,0.0
0x143e4c8,,,,-73.7856,,,,,,,,,,,,
0xe1e218,,-73.16514999428973,,,,,,,,,,,,,-73.05941811042528,
0xe1e03e,,,,,,,,,-79.94356599773951,,,,-80.17288478757858,,,
0xe1aec7,,-3.6,,-20.87999999999998,,,,,,,,,,,,
0x10a3a7c,,-99.87620599607146,,,,,,,,,,,,,,
0xdf36fe,,-67.88732912636391,,,,,,,,,,,,,,
0x1712cfe,,,,,,,,,,,,-29.159999999999986,,,,
0x170fb00,,,-95.70320406223138,-89.99999885766408,,,,,,,,,,,,
0x1a1ebc3,,,,,,,,,,,,,-73.7856,,,
0x17210c7,,,,,,,,,,,,,-72.95060163046678,-73.34593386889253,-66.98345041780253,-71.02000363684178
0x1403880,,,,-88.602065996186,,,,-85.996859361261,,,,-81.10118216720814,,,,
0x14068ec,,,,,,,,,,,,,,,,-99.99999987858321
0x1551d,-36.982702738754654,-72.72909593413544,-73.50909622941495,-71.5373373902372,,,,,,,,,,,,
0x7af83c,-3.6,,,46.5936107262081,,,,,-3.4473600000000006,,,,,,,
0x27ac3f3,,,,,0.0,,,,,,,,,-36.0,,
0x11dea1,,,,,-72.77392047071885,,,,,,,,-57.31675221317114,,,
0x29e8a0,,-3.6,,,-3.6,,,,,,,,,,,
0x2f564e,,-36.0,,,,,,,,,,,,,,
0x187b7,,-63.461199796357874,,,-69.07154757897743,,,,,,,,,,-61.01210161902894,
