,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(3, 0)","(3, 1)","(3, 2)","(3, 3)"
0x9464af,61.997396726862505,,-68.88483098657872,,,,,,-47.045548599557755,,,,,,,
0x16e716a,,,58.00582282209745,,,,,20.644424357998172,,,,,,12.05318250639968,,63.05726268667517
0x1441863,,,,,,,,,18.719153104895994,,,1.86623999998044,,0.0,,71.07331896446748
0x143325d,,,,,,,,46.64563034111999,80.99999999999993,,,,,76.90071803725421,,
0x153838f,,,,,,,,,78.40358830079998,,,,,0.0,,
0x150d762,,,,,,,,,,,,,,99.99999999999997,,
0x7d5b3,52.59865791018571,,-42.16501271295441,,,,,,-52.53986338705291,,,,,,,
0x7dc5a,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,
0x4ff409,0.0,,,,,,,0.0,,,,0.0,,0.0,,
0x510aca,0.0,,-20.0,0.0,,,,,,,,,,,,
0x946b56,,,0.0,0.0,,,,,,,,0.0,,,,
0x9c87e9,,,0.0,,,,,,,,,,,,,
0xb4dea7,0.0,,,,,,,,,,,,0.0,,0.0,
0xb511ec,0.0,,,,0.0,,,,,,,,0.0,,,
0xb7c61d,-20.0,,,,,,,,,,,,,,,
0x1880d,,,,,,,,-44.38497407330018,,,,,,-56.964332783407066,,58.00508073249924
0x943266,,,,,-0.019878281171534284,,,,,,,,0.010749542400000003,-2.88,,
0xa6847d,,,,,,,,,,,,,,0.8444736000000002,,0.0
0xa69afd,,,3.7532160000000006,,,,,,,,,,,,,0.0
0xbeb6cf,23.6448,,,,,,,,,,,,0.0,,,0.0
0x150ae00,,,,,,,,,,,,,,,,67.232
0x324954,,,,,,,,,,,,,,-48.016756118602885,,-60.42423476504551
0x3248a9,,,,,,,,,-54.13193307564482,,,,,,,
0xc52ecf,-28.19762087840785,,,,-23.6448,,,,,,,,,,,
0x27f9f12,,,,,,,,,,,,,,,,-67.232
0x9464b6,64.70379838357104,,13.865460800199909,,,,,,19.128498053398882,,,,,62.500573170646675,,
0xacba1e,13.67451328905816,,,,,,,0.0,0.0,,,,,0.0,,
0xd545d9,0.0,,,,0.0,,,45.310376011530245,,,,,,,,
0xd55e36,0.0,,,,0.0,,,,74.95868093202432,,,,,,,
0xd7d38b,20.0,,,,,,,,,,,,0.0,,,
0x188a9,,,,,,,,-56.94437027876988,,,,,,-51.730795647127344,,54.96258663927247
0x3249f0,,,,,,,,,,,,,,0.0,,1.770564258257158
0x33406c,8.515949189629506,0.0,,,0.0,,,,,,,,,,,
0x1139acd,,0.0,,,,,,,,,,,49.65684737422787,,,
0x110df5b,,76.22531832722227,,0.0,,,,,,,,,,0.0,,
0x16a12b6,,,,,,,,,,,,,,97.18525023289344,,
0x205cc8,-65.75480601083133,,,,,,,,-63.38829573226595,,,,,,,
0xfa6a1f,,,,,,,,,0.0,,,,,0.0,0.0,0.0
0xfa1d51,,,,,,,,,0.0,,,,0.0,,,0.0
0x10aa124,,,,,,,,,0.0,,,,0.0,,,
0x1b5d2a4,,,,,,,,,48.8,,,,,,,
0xac6c94,0.0,,,,0.0,,,,0.0,,,,0.0,,0.0,
0xd5443c,0.0,,,,0.0,,,,0.0,,,,,,,
0x1b59e9d,,,,,,,,,-3.6,,,,,,,
0x1b2f342,,,,,,,,-36.0,,,,,,,,
0x11f3cd,,,,,,,,,,,,,,-87.51237043172392,,-99.84822992375204
0x7df37,6.759626963859277,,-0.07138368,,,,,,,,,0.0,,,,
0xe01da7,,,0.0,,,,,0.0,,,,0.0,,,,13.11030080542814
0xe01d17,,0.0,0.0,,,,,0.0,,,,,,,,
0x18a1af9,,,,,,,,,,,,,-20.0,,,
0x18a9953,,,,0.0,,,,,,,,,,,,0.0
0x1924ec0,,,,,,,,,,,,,,,,48.8
0x174bf10,,,52.81176074583907,,,,,,71.59249473681058,,,,,,,
0x1444aac,,,,,,,,,77.35596566762749,,,-10.465893841892619,,43.07982449143434,,
0x1436505,,,,,,,,,66.63394373187579,,,0.0,,,,0.0
0x140b9d4,,,,,,,,,,,,0.0,,,,86.7224015346754
0x140ba77,,,,99.99976054757174,,,,,,,,,,,,
0xacebc4,0.0366900611223776,,,,,,,,0.0,,,,,,,
0x13dfd06,,,,,,,,,,,,0.05971968000000001,,0.0,,0.0
0x13db0c7,,,,,,,,,,,,,0.0,-20.0,,
0x7d5ba,65.19401172734054,,16.360292641130144,,,,,,35.93843311976304,,,,,61.68212642403101,,
0x1fde3f,0.0,,,,,,,20.41049169267636,0.0,,,,0.0,0.0,,
0x307c54,53.13714484970483,0.0,,,,,,,0.0,,,,,0.0,,
0x1b5b891,,,,,,,,,3.6,,,,,80.34061714436092,,
0x1b30d57,,,,,,,,,,,,,,36.0,,
0x3341b8,,0.0,,,0.0,,,,,,,,,,,0.0
0x1ee41a1,,0.0,,,,,,,,,,,0.0,,0.0,0.0
0x2365677,,,,0.0,,,,,,,,,0.0,,,0.0
0x2261ed4,,,,,,,,,,,,,,,,20.0
0x946b5a,,,0.10752495399328223,0.0,,,,,,,,0.0,,,,
0xcd2ef1,0.0,,,,,,,,,,,0.0,,,,
0x14c3cdf,,,,,,,,,,,,0.0,0.0,0.0,,0.0
0x14c6d63,,,,,,,,,,,,0.0,,,,0.0
0x14c0732,,,,,,,,,,,,,,20.0,,
0x1fdd98,,,,,,,,,0.0,,,,0.0,,0.0,
0x205ccd,0.0,,,,,,,,0.0,,,,,,,
0x1d64848,,0.0,,0.0,,,,,,,,0.0,,,,
0x1d65340,,-20.0,,0.0,,,,,,,,,,,,
0xd54437,-85.78776468041508,,,,,,,,-78.86083974574532,,,,,,,
0xd54cf8,-65.19691768017455,,,,,,,,,,,,,,,
0x1af5a4f,,,,,,,,1.9128960000000004,,,,,,0.0,,0.0
0x1b5b087,,,,,,,,-23.6448,,,,,,,,
0x1b5cad0,,,,,,,,,,,,,,-67.232,,
0x16e8bad,,,0.0,,,,,,,,,,,0.0,,20.40755748148277
0x174d962,,,0.0,,,,,,0.0,,,,,,,16.199999999999992
0x143e518,,,,,,,,,-20.0,,,,,,,0.0
0x154698d,,,,,,,,,73.7856,,,,,,,
0xe1e30a,,,,,,,,41.8298812128415,60.36748593868752,,,,,2.2236988354892895,,64.99121276245671
0xe1e311,,,,,,,,69.07070821129433,72.84615901012398,,,,,68.64796864524257,,
0xe1e34d,,,1.1664,,,,,0.0,80.82503582807819,,,,,,,
0xf2338c,,3.6,6.48,,,,,,89.28142966652342,,,,,,,
